Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
130905;-3.06;-6.32;0.51;7.040319595018397;7.36714533428768;-0.9245597631523761
130925;-1.41;-6.75;0.86;6.949115051573115;6.918282520301242;-0.9482722188204532
130945;0.2;-6.43;0.31;6.440574508535709;6.909551506760417;-0.9487334594602947
130965;1.84;-6.2;0.2;6.470363204643153;7.31324805757608;-0.9274070401930011
130985;3.22;-6.9;0.71;7.64738517403171;7.939601626829822;-0.8943181302172242
131005;4.67;-7.61;1.53;9.058802349096707;8.838608120930422;-0.8468255534823693
131025;5.45;-8.16;2.31;10.080882897841835;9.712969015990385;-0.8006349506612681
131045;5.45;-8.75;3.65;10.935606979038704;10.465450788875366;-0.7608829593521592
131065;5.26;-8.75;3.65;10.842167679942973;11.1653057354763;-0.7239111299239803
131085;4.28;-9.45;4.75;11.409794038456608;11.619317003015922;-0.699926692543819
131105;4.04;-11.49;3.06;12.558077082101383;12.008799573672565;-0.6793511672331762
131125;2.47;-10.32;6.32;12.350939235539943;12.527950082881443;-0.6519255640174753
131145;1.61;-10.24;7.65;12.883019832321924;13.033852103854278;-0.6251998498996839
131165;1.92;-10.12;8.63;13.437920225987353;13.419088772025134;-0.6048486264722179
131185;1.84;-9.69;9.85;13.939304143320784;14.357603904057452;-0.5552688934921362
131205;-0.12;-8.87;11.45;14.484260422955671;15.240552509819713;-0.5086246204114961
131225;-0.9;-8.83;14.55;17.04351489570153;15.982028977357473;-0.46945401567981826
131245;-2.79;-7.81;15.18;17.29776286113323;17.056210613503872;-0.41270731349621204
131265;-4.71;-6.43;15.18;17.14530256367615;18.40441259217271;-0.34148470682297494
131285;-5.37;-4.75;17.93;19.310212324052785;19.73489013291134;-0.2711984440293501
131305;-5.84;-1.37;20.36;21.22527031629986;21.90131480912785;-0.15675089459487168
131325;-6.9;1.33;22.63;23.69590259939469;24.97037248553015;0.005380812079897627
131345;-10.4;4.12;25.81;28.12988624221577;29.1558474018751;0.22649043691657736
131365;-15.02;8.59;27.5;32.49059094568764;34.743490628779206;0.5216735935034744
131385;-24.05;16.28;27.85;40.23758690577754;40.70044417687081;0.8363666189100826
131405;-34.28;22.48;27.14;49.16348645082039;47.08336196502448;1.173562417645031
131425;-41.31;26.36;21.42;53.4806703398527;62.29571175794575;1.977198091690473
131445;-45.97;33.66;18.95;60.04447518298415;63.25769802571564;2.0280177542176556
131465;-86.1;62.57;-21.34;108.55233991029397;64.36416249502838;2.086469888944221
131485;-31.19;30.52;11.18;45.04751824462698;64.80755391066799;2.1098933024223485
131505;-45.03;30.09;7.65;54.6958087973841;65.11417900113035;2.1260916455190624
131525;-45.03;32.52;4.12;55.697627418050764;57.70482663988939;1.734671519100669
131545;-50.52;32.52;13.49;61.57760063529595;60.15672848941837;1.8642002127188229
131565;-62.76;31.5;13.49;71.5055781040892;59.52975621617579;1.8310786179439273
131585;-45.23;35.19;0.08;57.307027492271835;57.09519598235268;1.7024660445318252
131605;-41.27;30.28;-6.2;51.5609474311712;52.83040451796744;1.4771662973001833
131625;-34.32;26.05;-6.16;43.52482624893521;46.11126568424148;1.1222086649060798
131645;-29.66;26.99;-3.49;40.253643313369786;41.23593124522763;0.8646552473586474
131665;-26.6;26.48;-5.33;37.90988393545936;36.61090484791568;0.620325064521851
131685;-23.03;21.93;-8.55;32.93035529720261;33.20073742240861;0.44017326450996663
131705;-20.4;18.4;-7.34;28.435815444611393;29.688601493170864;0.25463468807350015
131725;-19.38;16.51;-7.26;26.473989121399896;25.710747345501794;0.04449322125658372
131745;-16.32;13.81;-7.61;22.69296366718107;22.286379624453417;-0.13640874978307266
131765;-12.55;10.0;-8.2;18.020613197114024;19.518833633713705;-0.2826122435230604
131785;-9.96;8.24;-9.1;15.808516691960698;16.73840411976537;-0.4294963460446487
131805;-7.96;6.2;-10.55;14.598085490912842;14.51346736767124;-0.5470349624199878
131825;-5.88;4.12;-10.32;12.571841551658213;13.282463351495068;-0.6120662531646118
131845;-4.71;1.69;-10.43;11.568279906710417;12.453149345954543;-0.6558771258378139
131865;-4.75;0.27;-10.87;11.86559311623317;11.951718344829022;-0.6823666456070938
131885;-4.16;-1.77;-10.75;11.661946664258073;11.822622345995587;-0.6891865091686952
131905;-4.16;-3.53;-10.79;12.090930485285242;11.758873918309876;-0.6925542012971251
131925;-5.02;-3.49;-10.24;11.926361557491036;11.476357122289077;-0.7074789551247672
131945;-5.06;-3.06;-9.57;11.24953776828186;11.295344093109138;-0.7170414835767305
131965;-4.43;-2.47;-9.14;10.453009136129175;11.0798545253089;-0.7284253333058163
131985;-4.51;-2.98;-9.3;10.756881518358377;10.740616426623372;-0.7463465513825855
132005;-4.9;-4.08;-8.98;11.013482646284054;10.605068350444753;-0.7535072642933587
132025;-4.9;-4.08;-8.0;10.230171064063397;10.729768759935165;-0.746919610249195
132045;-5.02;-4.75;-8.0;10.571797387388768;10.996335383629642;-0.7328374696708596
132065;-5.81;-5.73;-7.49;11.076511183581227;11.146856226397778;-0.7248857777506444
132085;-6.98;-6.98;-6.98;12.089714636830763;11.430794545612033;-0.7098859279144767
