Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
605324;-8.32;-5.81;-8.79;13.425445988867557;13.260722891362702;-0.21400234518150957
605344;-8.47;-5.84;-8.43;13.300804486947397;13.14405451803703;-0.23298626641176054
605364;-8.59;-5.92;-7.85;13.05591819827315;13.010828515810463;-0.2546643944253436
605384;-8.67;-6.08;-7.18;12.794049398060022;12.777013272534898;-0.2927100963945044
605404;-8.71;-6.12;-6.51;12.477924506904184;12.508934313541342;-0.3363310854933687
605424;-8.51;-6.08;-6.39;12.25636977248973;12.231658127064751;-0.3814486193463735
605444;-8.24;-6.47;-5.77;11.960409691979619;11.907010282758156;-0.4342743246185585
605464;-8.24;-6.47;-5.14;11.669537265890195;11.55604562748151;-0.4913822209614314
605484;-7.65;-6.47;-4.94;11.170810176527036;11.159334400183686;-0.5559338597260813
605504;-6.98;-6.47;-4.94;10.723101230520955;10.776273118724868;-0.6182644210108772
605524;-6.47;-6.47;-4.67;10.272813636000606;10.365981011711437;-0.6850258990268119
605544;-6.04;-6.79;-4.28;10.04510328468553;10.011604070505886;-0.7426890321098816
605564;-5.84;-6.67;-3.73;9.61807673082306;9.674376421487342;-0.7975616847675158
605584;-5.69;-6.79;-3.14;9.398925470499274;9.322194380267883;-0.8548676704313107
605604;-5.49;-6.71;-2.55;9.036962985428234;8.955666950105245;-0.914507893951962
605624;-5.18;-6.51;-1.8;8.511903429903326;8.64417939043896;-0.9651921979183968
605644;-4.86;-6.59;-0.63;8.212466133872335;8.371591857312865;-1.0095468084242722
605664;-4.47;-6.67;0.71;8.060638932491642;8.213017018501308;-1.0353496216742273
605684;-4.39;-6.59;1.37;8.035987804868796;8.344502194572716;-1.013954755573561
605704;-4.12;-6.59;2.75;8.244088791370457;8.90893986839301;-0.9221111819147452
605724;-4.86;-6.39;4.43;9.169329310260375;9.909597568688422;-0.7592872184072993
605744;-5.84;-6.24;6.98;11.034654502973801;11.327748913213009;-0.5285299647522904
605764;-7.41;-5.41;9.3;13.063927433968699;13.34724738994375;-0.19992334314584703
605784;-9.1;-4.28;11.3;15.126744527491697;16.259783112250084;0.27399557040764594
605804;-11.26;-3.02;14.16;18.341581175024142;19.170863544194553;0.7476776835600598
605824;-14.75;-0.24;18.59;23.73200792179204;21.02933067831143;1.050081777123623
605844;-17.14;2.55;18.83;25.590056662696156;22.698026936635006;1.3216069336182736
605864;-16.2;3.88;14.91;22.35626310455305;24.752822442632613;1.6559569799778295
605884;-18.99;5.45;12.67;23.470225819109622;25.600756207535994;1.793930171362456
605904;-24.95;8.94;10.79;28.615558705012205;26.927406852168257;2.0097987107090907
605924;-24.01;13.61;4.55;27.971676746308937;28.8235292005837;2.318329945688749
605944;-26.16;10.2;-15.81;32.223309885857475;28.390091974603525;2.2478023646338787
605964;-28.79;10.4;-8.75;31.836874846630284;27.182444772272607;2.051297701806472
605984;-17.85;9.41;-6.83;21.303039689208674;26.229799632406525;1.8962861954309072
606004;-17.85;10.67;-8.79;22.5773226933576;24.801723346718838;1.6639139856752483
606024;-16.67;10.67;-12.12;23.208451046978556;23.5195252671381;1.4552786318900952
606044;-18.83;11.3;-12.12;25.082928457419;23.66517605978415;1.4789784838370996
606064;-20.48;9.06;-12.04;25.425884448726656;22.90645958293419;1.355522456963329
606084;-16.79;6.63;-12.63;22.031293652439025;21.311612329780225;1.0960137849460856
606104;-12.59;4.98;-13.02;18.783740309107767;18.847943401530188;0.695133104620149
606124;-8.83;3.18;-12.0;15.234214781208777;16.160490432506343;0.2578389689460488
606144;-8.04;2.59;-9.57;12.76458381616886;13.994201344669978;-0.09465297238445382
606164;-7.57;3.14;-8.75;11.988619603607415;12.380984948114882;-0.3571506152894702
606184;-6.51;1.77;-8.94;11.199848213257178;11.431875054014267;-0.5115868772759337
606204;-6.32;0.67;-8.63;10.717658326332298;10.942479553089175;-0.5912198178507283
606224;-6.83;0.04;-7.96;10.488665310705647;10.477401487148132;-0.6668958997062341
606244;-6.51;0.27;-8.0;10.31760631154339;10.131905913994615;-0.7231138837166753
606264;-5.3;-0.04;-8.08;9.663229273902177;9.957098708879949;-0.7515579780138822
606284;-4.75;-1.37;-8.08;9.472370347489587;9.909666112524269;-0.7592760651637644
606304;-4.67;-2.28;-8.36;9.843622300759003;9.911362514288793;-0.7590000318519542
606324;-3.92;-2.63;-9.1;10.25150232892721;10.126059203212094;-0.7240652426307282
606344;-3.53;-3.26;-9.14;10.326088320366043;10.43260853204506;-0.6741844724968498
606364;-3.84;-4.75;-8.83;10.736712718518644;10.675903059153551;-0.6345963304261103
606384;-4.51;-5.06;-8.67;11.005116991654381;10.840948164605242;-0.6077406951582108
606404;-4.86;-5.06;-8.55;11.060094936301406;11.034810844388812;-0.5761959522464072
606424;-4.63;-5.37;-8.51;11.076727856185688;11.123090809070595;-0.5618313061306157
606444;-4.94;-5.77;-8.36;11.295401719283825;11.212414109386009;-0.5472968916284059
606464;-4.98;-5.33;-8.47;11.178112541927641;11.282991012773028;-0.5358128335552366
606484;-5.41;-5.1;-8.71;11.451733493231494;11.33455680191986;-0.5274222059032456
606504;-5.3;-5.06;-8.75;11.412979453236565;11.34760849613186;-0.5252984741001948
