Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²)
59548;-2.75;-8.51;-5.53
59568;-3.88;-8.43;-6.39
59588;-3.96;-8.39;-7.1
59608;-3.37;-8.63;-7.88
59628;-2.9;-7.96;-8.71
59648;-2.55;-6.08;-9.92
59668;-2.63;-4.82;-10.98
59688;-2.94;-3.96;-11.61
59708;-2.55;-3.57;-11.92
59728;-1.57;-2.98;-12.51
59748;-0.71;-2.9;-12.94
59768;-0.16;-2.28;-12.79
59788;-0.35;-1.69;-12.47
59808;-0.04;-1.29;-12.4
59828;-0.04;-0.16;-12.94
59848;0.39;-0.16;-12.94
59868;0.67;0.94;-13.42
59888;0.59;1.1;-13.65
59908;1.02;1.1;-13.96
59928;1.49;1.8;-14.24
59948;1.33;2.67;-14.87
59968;1.73;4.04;-15.14
59988;1.49;5.26;-15.26
60008;2.94;6.98;-15.1
60028;5.77;13.38;-14.08
60048;7.45;24.56;-11.65
60068;5.77;35.3;-3.65
60088;4.71;36.52;5.96
60108;9.22;36.25;15.85
60128;5.65;39.03;25.3
60148;7.57;13.42;34.01
60168;12.79;16.4;32.01
60188;14.0;10.83;35.5
60208;12.71;8.83;36.64
60228;7.37;6.86;37.66
60248;10.28;1.37;33.26
60268;10.04;-0.12;25.89
60288;6.16;3.37;25.97
60308;4.35;2.08;23.81
60328;4.31;0.71;18.04
60348;3.06;1.65;13.89
60368;1.53;3.69;14.32
60388;1.53;3.69;12.16
60408;3.1;3.69;9.3
60428;3.69;2.82;9.3
60448;3.3;3.88;8.08
60468;3.33;4.0;8.28
60488;4.16;2.16;7.34
60508;4.12;1.37;6.83
60528;4.08;2.39;6.63
60548;4.0;2.28;6.12
60568;4.51;1.73;5.77
60588;5.3;2.28;5.84
60608;5.3;2.08;6.0
60628;5.1;2.12;6.55
60648;4.9;2.2;7.02
60668;4.67;2.0;6.9
60688;5.02;1.49;6.59
60708;4.94;1.26;6.94
60728;5.02;1.26;7.22
