Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²)
605324;-8.32;-5.81;-8.79
605344;-8.47;-5.84;-8.43
605364;-8.59;-5.92;-7.85
605384;-8.67;-6.08;-7.18
605404;-8.71;-6.12;-6.51
605424;-8.51;-6.08;-6.39
605444;-8.24;-6.47;-5.77
605464;-8.24;-6.47;-5.14
605484;-7.65;-6.47;-4.94
605504;-6.98;-6.47;-4.94
605524;-6.47;-6.47;-4.67
605544;-6.04;-6.79;-4.28
605564;-5.84;-6.67;-3.73
605584;-5.69;-6.79;-3.14
605604;-5.49;-6.71;-2.55
605624;-5.18;-6.51;-1.8
605644;-4.86;-6.59;-0.63
605664;-4.47;-6.67;0.71
605684;-4.39;-6.59;1.37
605704;-4.12;-6.59;2.75
605724;-4.86;-6.39;4.43
605744;-5.84;-6.24;6.98
605764;-7.41;-5.41;9.3
605784;-9.1;-4.28;11.3
605804;-11.26;-3.02;14.16
605824;-14.75;-0.24;18.59
605844;-17.14;2.55;18.83
605864;-16.2;3.88;14.91
605884;-18.99;5.45;12.67
605904;-24.95;8.94;10.79
605924;-24.01;13.61;4.55
605944;-26.16;10.2;-15.81
605964;-28.79;10.4;-8.75
605984;-17.85;9.41;-6.83
606004;-17.85;10.67;-8.79
606024;-16.67;10.67;-12.12
606044;-18.83;11.3;-12.12
606064;-20.48;9.06;-12.04
606084;-16.79;6.63;-12.63
606104;-12.59;4.98;-13.02
606124;-8.83;3.18;-12.0
606144;-8.04;2.59;-9.57
606164;-7.57;3.14;-8.75
606184;-6.51;1.77;-8.94
606204;-6.32;0.67;-8.63
606224;-6.83;0.04;-7.96
606244;-6.51;0.27;-8.0
606264;-5.3;-0.04;-8.08
606284;-4.75;-1.37;-8.08
606304;-4.67;-2.28;-8.36
606324;-3.92;-2.63;-9.1
606344;-3.53;-3.26;-9.14
606364;-3.84;-4.75;-8.83
606384;-4.51;-5.06;-8.67
606404;-4.86;-5.06;-8.55
606424;-4.63;-5.37;-8.51
606444;-4.94;-5.77;-8.36
606464;-4.98;-5.33;-8.47
606484;-5.41;-5.1;-8.71
606504;-5.3;-5.06;-8.75
