Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²)
113420;-5.96;-7.49;-5.81
113440;-6.00;-6.86;-6.12
113460;-6.28;-6.55;-6.35
113480;-6.28;-5.84;-6.32
113500;-6.20;-5.45;-6.71
113520;-6.08;-5.30;-7.22
113540;-6.20;-5.14;-6.43
113560;-6.35;-5.53;-6.55
113580;-6.79;-5.61;-6.67
113600;-7.22;-4.86;-7.34
113620;-7.45;-4.24;-7.96
113640;-7.49;-4.79;-8.32
113660;-7.18;-5.22;-7.96
113680;-7.41;-5.92;-7.61
113700;-7.53;-5.61;-6.90
113720;-7.53;-4.94;-6.47
113740;-7.92;-4.39;-6.35
113760;-8.43;-4.31;-6.35
113780;-8.43;-4.20;-6.28
113800;-8.20;-4.20;-6.55
113820;-7.73;-4.59;-6.55
113840;-7.57;-5.06;-6.59
113860;-7.57;-5.26;-6.67
113880;-7.49;-5.30;-6.90
113900;-7.37;-5.26;-6.75
113920;-7.34;-5.53;-6.51
113940;-7.45;-5.41;-6.24
113960;-7.69;-5.53;-6.20
113980;-8.08;-5.41;-6.16
114000;-8.36;-5.77;-6.04
114020;-8.36;-5.81;-5.81
114040;-8.20;-5.57;-5.61
114060;-8.16;-5.22;-5.33
114080;-8.20;-5.10;-5.61
114100;-8.16;-5.06;-5.57
114120;-8.08;-5.10;-5.53
114140;-8.04;-4.98;-5.30
114160;-8.28;-5.06;-5.30
114180;-8.71;-4.98;-5.65
114200;-8.67;-5.10;-6.00
114220;-8.24;-5.30;-6.08
114240;-7.85;-5.41;-6.08
114260;-7.85;-5.96;-6.16
114280;-7.41;-5.96;-6.43
114300;-7.53;-6.12;-6.43
114320;-7.61;-6.32;-6.51
114340;-7.73;-6.35;-6.59
114360;-7.53;-6.47;-6.51
114380;-7.49;-6.39;-6.47
114400;-7.37;-6.43;-6.24
114420;-7.30;-6.08;-6.28
114440;-6.94;-5.96;-6.39
114460;-6.90;-6.08;-6.51
114480;-6.59;-6.04;-6.43
114500;-6.47;-6.35;-6.12
114520;-6.47;-6.67;-5.84
114540;-6.59;-6.86;-5.53
114560;-6.86;-7.34;-5.14
114580;-7.02;-7.22;-5.22
114600;-7.14;-7.30;-5.18
114620;-7.06;-7.57;-4.94
114640;-6.83;-7.57;-5.49
114660;-6.75;-7.61;-5.77
114680;-7.10;-7.57;-5.96
114700;-7.92;-7.69;-6.08
114720;-8.39;-7.65;-5.88
114740;-8.67;-7.69;-5.96
114760;-8.67;-7.49;-5.96
114780;-8.39;-7.49;-5.96
114800;-7.57;-6.94;-6.20
114820;-7.06;-7.02;-6.12
114840;-6.75;-7.30;-6.08
114860;-6.59;-7.37;-5.88
114880;-6.55;-7.45;-5.81
114900;-6.47;-7.34;-5.81
114920;-6.39;-7.41;-5.57
114940;-6.12;-7.22;-5.45
114960;-5.92;-7.22;-5.49
114980;-5.81;-7.06;-5.65
115000;-5.57;-6.90;-5.81
115020;-5.26;-7.10;-5.92
115040;-5.18;-7.26;-6.12
