Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²)
551664;-1,80;-4,98;7,49
551644;-1,77;-5,02;7,49
551684;-1,77;-5,02;7,45
551704;-1,77;-5,02;7,49
551724;-1,77;-5,02;7,45
551744;-1,77;-4,98;7,57
551764;-1,73;-5,02;7,53
551784;-1,80;-4,98;7,49
551804;-1,77;-5,02;7,49
551824;-1,80;-4,98;7,49
551844;-1,80;-4,98;7,49
551864;-1,77;-5,06;7,45
551884;-1,80;-5,02;7,45
551904;-1,77;-5,02;7,49
551924;-1,77;-4,94;7,57
551944;-1,77;-5,02;7,49
551964;-1,77;-5,02;7,49
551984;-1,80;-5,02;7,49
552004;-1,77;-5,02;7,57
552024;-1,80;-4,98;7,49
552044;-1,80;-4,98;7,45
552064;-1,77;-4,98;7,57
552084;-1,80;-4,98;7,41
552104;-1,77;-5,02;7,49
552124;-1,77;-5,02;7,49
552144;-1,77;-4,94;7,49
552164;-1,73;-5,06;7,49
552184;-1,80;-4,98;7,49
552204;-1,80;-4,98;7,53
552224;-1,77;-5,02;7,45
552244;-1,80;-5,02;7,49
552264;-1,84;-5,02;7,53
552284;-1,77;-4,98;7,53
552304;-1,80;-5,02;7,53
552324;-1,77;-4,98;7,57
552344;-1,77;-4,98;7,53
552364;-1,80;-5,02;7,49
552384;-1,80;-5,02;7,49
552404;-1,77;-4,98;7,49
552424;-1,84;-4,98;7,53
552444;-1,77;-5,02;7,45
552464;-1,77;-4,98;7,45
552484;-1,77;-5,02;7,49
552504;-1,80;-5,02;7,49
552524;-1,73;-4,98;7,57
552544;-1,80;-4,94;7,49
552564;-1,77;-4,98;7,49
552584;-1,77;-5,02;7,49
552604;-1,77;-4,94;7,49
552624;-1,80;-4,98;7,45
552644;-1,80;-4,98;7,45
552664;-1,77;-4,98;7,53
552684;-1,77;-4,98;7,53
552704;-1,77;-5,02;7,53
552724;-1,80;-5,02;7,53
552744;-1,80;-5,02;7,49
552764;-1,77;-4,98;7,49
552784;-1,80;-4,98;7,45
552804;-1,84;-4,98;7,49
552824;-1,80;-4,98;7,57
552844;-1,77;-4,98;7,49
552864;-1,80;-5,02;7,45
552884;-1,77;-4,94;7,53
552904;-1,73;-5,02;7,57
552924;-1,84;-4,98;7,53
552944;-1,77;-5,02;7,53
552964;-1,77;-5,02;7,53
552984;-1,77;-4,98;7,57
553004;-1,77;-5,02;7,45
553024;-1,77;-5,02;7,53
553044;-1,84;-4,98;7,53
553064;-1,77;-4,98;7,49
553084;-1,77;-4,98;7,53
553104;-1,77;-4,98;7,45
553124;-1,80;-5,02;7,53
553144;-1,80;-4,98;7,57
553164;-1,77;-4,98;7,57
553184;-1,73;-4,98;7,49
553204;-1,77;-4,98;7,49
553224;-1,77;-4,98;7,49
553244;-1,77;-5,02;7,49
553264;-1,77;-4,98;7,49
553284;-1,77;-4,98;7,45
553304;-1,80;-5,02;7,49
553324;-1,80;-4,98;7,49
553344;-1,80;-4,98;7,53
553364;-1,77;-5,02;7,49
553384;-1,80;-4,94;7,53
553404;-1,77;-4,98;7,57
553424;-1,77;-5,02;7,49
553444;-1,77;-4,98;7,53
553464;-1,80;-4,98;7,49
553484;-1,80;-4,98;7,49
553504;-1,80;-5,02;7,53
553524;-1,80;-4,98;7,49
553544;-1,77;-4,98;7,49
553564;-1,77;-4,98;7,49
553584;-1,80;-5,02;7,49
553604;-1,80;-4,98;7,45
