Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
138673;-0.59;-10.4;3.22;10.903050031986464;10.929915463180219;-0.9613766031283609
138693;-0.04;-10.83;3.77;11.467493187266344;11.522106763072102;-0.9130889180259694
138713;-0.71;-11.26;3.8;11.905112347222936;12.073164638980597;-0.8681552805511867
138733;-1.14;-11.96;4.12;12.7010078340264;12.696399136117693;-0.8173363118358445
138753;-1.14;-12.36;5.02;13.389159794400841;13.305604066030543;-0.7676613236625516
138773;-1.92;-12.79;5.41;14.01922251767194;13.819305763065381;-0.7257737346562437
138793;-2.31;-13.45;4.94;14.5135178368306;14.086382593569493;-0.7039961065622784
138813;-2.82;-13.42;4.63;14.473620832397124;14.283415501078702;-0.6879299080309079
138833;-3.53;-12.87;4.35;14.036391986546969;14.434843573805258;-0.6755823590331146
138853;-4.04;-13.14;4.2;14.374324331946875;14.400860278616264;-0.6783533802506289
138873;-4.82;-13.22;4.51;14.776362881304724;14.32790080820914;-0.6843025455505913
138893;-5.49;-12.28;4.98;14.343601360885625;14.413010351685006;-0.6773626549521964
138913;-5.49;-11.92;5.18;14.108823480361501;14.54110202843774;-0.6669179717013574
138933;-6.47;-11.92;5.02;14.461939703926303;14.551136856140166;-0.6660997249621027
138953;-7.37;-12.08;5.02;15.014782715710542;14.577012928878858;-0.663989772228382
138973;-7.45;-11.69;5.26;14.826537019816865;14.919504227507366;-0.6360627966353567
138993;-7.96;-10.4;6.16;14.472981724579078;15.448431238608293;-0.5929337250686961
139013;-10.47;-9.38;7.26;15.82127997350404;15.899170686719614;-0.5561801210599934
139033;-12.28;-9.06;7.73;17.10657475943095;16.49670989747319;-0.5074563636348707
139053;-12.12;-8.32;9.06;17.26847995626714;18.027013099439763;-0.38267439007120213
139073;-12.83;-6.86;10.28;17.814233073584727;21.099058893459574;-0.13217766722363922
139093;-16.95;-3.22;13.85;22.12449773441196;25.523998079695605;0.22863491151773738
139113;-22.4;1.88;21.61;31.1815089436031;30.911860774556295;0.6679649341503813
139133;-27.81;9.22;26.09;39.23127069061108;36.398332808223884;1.1153356299596353
139153;-32.56;17.77;24.05;44.20779343057059;41.59887579662265;1.5393914751419226
139173;-33.11;23.89;19.5;45.246593241922646;43.13586185796908;1.664718373646868
139193;-42.01;19.22;-13.49;48.12721267640585;45.1613334048525;1.8298767139629393
139213;-33.46;19.02;-5.41;38.86643925033524;45.775204058540986;1.8799321484556797
139233;-42.91;23.81;-5.3;49.35862842502818;45.694933743173735;1.8733868518391452
139253;-39.42;23.89;-10.51;47.277146699013045;45.401357259224426;1.8494484238125943
139273;-36.4;22.59;-13.26;44.845241665086384;46.71311668476359;1.956410187827185
139293;-39.85;20.75;-12.59;46.65933025665928;44.62784205270885;1.7863754628944675
139313;-34.64;22.56;-18.83;45.425236378031094;42.7647688689358;1.6344591965846318
139333;-28.48;19.5;-18.01;38.932255264754446;41.7232611381482;1.549533941274127
139353;-30.2;17.42;-15.02;37.96178078014781;39.21169713291371;1.3447392882263598
139373;-25.85;20.67;-21.81;39.63770301114836;36.688919281828255;1.13903025049017
139393;-20.95;17.73;-20.24;34.10151023048686;35.29204380163648;1.0251280649513634
139413;-20.95;15.26;-20.12;32.81134712260379;33.96767264877979;0.9171379320339922
139433;-19.57;15.26;-20.12;31.947877863795586;31.968581422230066;0.7541306611466784
139453;-19.85;13.3;-20.28;31.33992501586435;30.242494919275725;0.613384382825189
139473;-18.44;11.14;-20.36;29.642246878399757;28.435412136728132;0.4660336122658398
139493;-13.73;9.77;-19.1;25.471077715715136;26.458267186653064;0.3048158558272718
139513;-10.87;8.55;-19.34;23.775933209865812;24.325867269051525;0.13093850276195673
139533;-11.45;6.2;-17.81;22.062153113420273;21.913527675502955;-0.06576532364442847
139553;-10.98;4.59;-16.91;20.677925427856636;19.83602093501225;-0.235166649366752
139573;-9.61;3.06;-14.4;17.580548910656912;18.061589901940962;-0.3798549738600381
139593;-7.88;0.9;-12.83;15.083544013261605;16.302703324491507;-0.5232757927714419
139613;-4.39;0.27;-14.24;14.903778044509385;14.607831249497213;-0.6614768252099517
139633;-5.06;-1.88;-12.12;13.267720226172996;13.454421617617655;-0.7555266383504585
139653;-7.26;-2.63;-9.45;12.203565052885159;12.742237928736063;-0.8135985852197429
139673;-6.32;-1.1;-9.92;11.813500751259129;12.01695211568604;-0.8727388882876631
139693;-5.22;-2.35;-10.0;11.522625568853654;11.8049862485977;-0.8900227305938331
139713;-5.81;-3.84;-8.87;11.277348979259266;11.855917674933767;-0.8858697471285565
139733;-6.71;-3.18;-9.69;12.20789089073129;11.79269746588604;-0.8910247663717662
139753;-6.2;-3.33;-10.28;12.4582221845655;11.874946744469977;-0.8843181037360855
139773;-5.65;-3.61;-9.34;11.497399706020488;12.064157704872406;-0.8688897121411708
139793;-6.32;-3.3;-9.57;11.933871961773345;11.953976532814986;-0.8778739605445034
139813;-6.16;-3.14;-10.08;12.223403781271402;11.734332976183406;-0.8957838469263726
139833;-5.3;-4.12;-9.53;11.656985030444194;11.712600167564485;-0.8975559550596272
139853;-4.94;-4.75;-9.06;11.360004401407599;11.601040050833102;-0.90665264355825
