Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
153929;-6.43;-7.77;-4.0;10.8497834079764;10.902237446934631;-0.04661401737076042
153949;-6.55;-8.16;-3.65;11.081994405340584;10.939985184963755;-0.03736358125331337
153969;-6.32;-8.2;-3.26;10.854031509075327;10.966062760604796;-0.03097302753644612
153989;-6.12;-8.79;-2.82;11.075689594783702;11.044664728455867;-0.011710880444321592
154009;-5.81;-9.02;-2.28;10.96881488584797;11.05400437650567;-0.009422112370921174
154029;-5.88;-9.38;-1.96;11.242793247231758;11.057382059545613;-0.008594379563146766
154049;-5.81;-9.34;-1.69;11.128692645589597;11.009063930049916;-0.020435188934814014
154069;-5.3;-9.38;-1.45;10.87091992427504;10.905400472042029;-0.04583888849624907
154089;-5.3;-9.41;-0.86;10.834098947305216;10.703737032419571;-0.0952583997796248
154109;-5.26;-9.02;-0.43;10.450497595808535;10.52301684062775;-0.1395455723782376
154129;-5.1;-8.87;-0.24;10.234476049119465;10.423658149622804;-0.1638943485392169
154149;-5.22;-8.79;0.2;10.225091686630492;10.358795543360316;-0.17978953662119812
154169;-5.14;-8.98;0.75;10.374126469250315;10.398873481595057;-0.16996806315771723
154189;-5.22;-9.06;1.06;10.50978591599277;10.442921599554106;-0.15917366003455308
154209;-5.53;-8.98;1.49;10.650887286982245;10.510277282140201;-0.1426675202910538
154229;-5.53;-8.71;1.69;10.454716638914707;10.438333911919187;-0.16029791578097355
154249;-5.73;-8.71;1.69;10.561870099560968;10.293726978420466;-0.1957351968026278
154269;-5.02;-8.36;2.28;10.014409618145244;10.30626275428693;-0.19266318772632518
154289;-4.9;-8.04;2.67;9.786751248499167;10.43528879566204;-0.16104414998937075
154309;-5.84;-8.43;3.1;10.713566166314557;10.563708385165938;-0.1295737289533325
154329;-5.45;-8.71;4.2;11.099846845790262;10.874083040474902;-0.053513517896577927
154349;-4.86;-8.87;4.82;11.203968047080462;11.485617373624208;0.09634868783502688
154369;-5.26;-8.43;5.92;11.566282894690065;12.23056617044723;0.2789053552163596
154389;-6.08;-8.08;7.92;12.8444229142457;13.337900815051672;0.5502680626359745
154409;-7.1;-7.18;10.32;14.438310150429656;14.908495404179513;0.9351569505986322
154429;-8.75;-5.88;12.87;16.636520068812466;16.693449166353826;1.3725765580159306
154449;-10.94;-4.47;14.95;19.056940992719685;18.42251665396801;1.7963007113569684
154469;-12.04;-4.2;16.04;20.491051705561624;19.686561742646603;2.1060667782236115
154489;-12.79;-4.04;16.79;21.489760352316633;20.365023573263933;2.2723301929323183
154509;-12.04;-3.96;16.44;20.758535593822604;20.68823136465662;2.3515352839667125
154529;-10.9;-4.16;16.28;20.028829221899116;20.87814462250923;2.398075303351885
154549;-13.38;-3.61;15.34;20.672979949683114;20.371198750932948;2.273843477953451
154569;-15.14;-3.06;14.87;21.440617994824684;19.27301287820553;2.0047227626165465
154589;-12.28;-3.02;14.12;18.955030994435223;18.040344940499757;1.7026459599489294
154609;-9.3;-3.57;11.57;15.26760623018553;15.144847009636752;0.9930771212284961
154629;-9.73;-3.33;9.3;13.865489533370251;12.395333172762255;0.31928304958317055
154649;-4.59;-3.06;-2.82;6.195490295368075;10.728755367584919;-0.08912742284444082
154669;2.43;-4.9;5.41;7.6930488104522;9.194861707504318;-0.46502240501755104
154689;-8.87;-0.63;5.81;10.622141968548528;7.67759818481567;-0.8368420165432879
154709;-4.31;-1.1;6.16;7.598137929782533;8.001681497176605;-0.7574223709101513
154729;-1.84;-2.82;5.3;6.2791719199270215;7.962202149693248;-0.7670971541136251
154749;-6.12;-2.82;3.96;7.815906857172749;7.067521697636627;-0.9863469634900991
154769;-6.12;-3.02;3.1;7.495652073035407;6.59723866901103;-1.1015942164530235
154789;-4.71;-3.02;2.55;6.148739708265427;6.325213209563311;-1.168256598527384
154809;-1.84;-4.2;2.55;5.246722786654542;5.836776458957357;-1.2879525907854585
154829;-2.35;-3.96;1.73;4.919044622688434;5.718470435791851;-1.316944587835914
154849;-2.94;-4.43;0.78;5.373723104142973;5.991722161470732;-1.2499816977569256
154869;-3.26;-6.08;0.27;6.904121957207882;6.293822756560003;-1.1759491225133456
154889;-4.24;-6.2;-0.24;7.51499833665983;6.759456483526679;-1.0618412243894688
154909;-4.39;-4.98;-1.26;6.7572257621008935;7.167850426689999;-0.9617604704362152
154929;-4.28;-5.14;-2.79;7.247213257521818;7.295585613123954;-0.9304577687711288
154949;-3.69;-5.1;-3.92;7.415692819959575;7.481171152407278;-0.8849782972823255
154969;-4.24;-4.31;-4.51;7.542797889377654;7.77164682633653;-0.8137945176534161
154989;-5.45;-3.73;-5.26;8.442926033076448;7.999750001329912;-0.75789570202544
155009;-4.82;-2.94;-5.96;8.209604131747158;8.377494023639454;-0.6653259977314782
155029;-3.84;-2.28;-7.1;8.38772913248872;8.801197367832241;-0.5614935319243854
155049;-4.16;-2.43;-7.96;9.304412931507287;9.047394836351295;-0.5011605404996922
155069;-5.37;-0.71;-8.0;9.661314610341597;9.337094055455937;-0.4301670383848314
155089;-4.39;-1.1;-8.55;9.67391337567171;9.796987818747809;-0.31746577202387727
155109;-2.28;-0.31;-9.38;9.658100227270372;10.242938559758924;-0.20818137362976033
