Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
112760;-7.85;-0.16;-1.96;8.092570666975977;8.076592791950526;-0.5351014843803924
112780;-7.34;-0.63;-1.02;7.437264281978959;7.704384700172703;-0.5705095064702748
112800;-7.06;-0.94;-0.43;7.135271543536377;7.393138612366684;-0.6001182350172171
112820;-6.94;-1.37;0.39;7.084673598691756;7.262199687154256;-0.612574407945114
112840;-6.86;-1.77;1.37;7.215912970650353;7.2402146741450055;-0.6146658343366245
112860;-6.9;-1.84;2.08;7.437876040913832;7.290823385209151;-0.609851445829538
112880;-6.59;-1.77;2.67;7.327339216932706;7.472760767923026;-0.5925438079559541
112900;-6.0;-1.96;3.84;7.388315098857113;7.666544880845973;-0.5741091948924109
112920;-6.0;-2.47;4.67;7.994360512261128;7.872626072290947;-0.5545047651656425
112940;-5.45;-2.59;5.53;8.184833535265088;8.198513023466333;-0.523503256544733
112960;-4.86;-2.39;6.51;8.468281998138702;8.56424795313502;-0.4887110240414148
112980;-4.79;-2.51;7.14;8.95677397280963;8.942164154978425;-0.45275999149109836
113000;-4.04;-2.43;7.92;9.216989747200547;9.480950191230585;-0.4015054693709179
113020;-3.77;-2.63;8.75;9.88394152147816;10.211652675926697;-0.3319940044382973
113040;-3.45;-3.65;9.65;10.878763716525881;11.084653713456273;-0.24894572928207423
113060;-2.71;-4.63;10.87;12.121794421619267;12.194205475745099;-0.1433944686382256
113080;-1.73;-4.12;12.55;13.321779160457512;13.49211349324787;-0.0199249450852408
113100;-1.65;-3.37;14.28;14.764748558644675;14.907700332883858;0.1147393225521671
113120;-1.92;-3.06;15.97;16.373481608992023;16.482143769255536;0.26451556118266784
113140;-3.33;-2.55;17.46;17.95669791470581;18.355488235773457;0.44272614745874356
113160;-4.79;-2.08;19.3;19.994011603477677;20.22177248806826;0.6202650980914958
113180;-5.84;-1.8;21.85;22.68850149304709;21.956391488746572;0.7852787806263971
113200;-7.49;-1.22;22.87;24.096169820118714;23.898575195717548;0.9700380191227138
113220;-8.75;-0.63;23.46;25.04657661238358;25.684539421737618;1.1399361545034072
113240;-8.75;-0.63;26.24;27.667616449560665;27.579005787635577;1.3201560594814392
113260;-12.16;0.43;26.24;28.92383273357803;29.557085704844628;1.5083300915653481
113280;-15.14;0.9;28.36;32.1608333225369;31.815289904185516;1.7231522460000122
113300;-15.38;1.29;30.28;33.98656940616396;33.20590439453166;1.8554409030184573
113320;-15.93;2.55;32.56;36.33759760908803;34.457063373288875;1.974463207305797
113340;-12.04;3.77;32.24;34.62068890129138;37.05326112322557;2.2214385668160714
113360;-15.26;5.65;31.19;35.17962762736411;40.27930815537906;2.528331262329189
113380;-30.4;6.2;32.79;45.14182207222034;38.60545791230864;2.369098489880034
113400;-38.13;3.26;32.36;50.11680456693144;34.90432121799495;2.01701068543714
113420;-25.34;9.38;7.22;27.9683463937359;30.98747504386925;1.6444025156531836
113440;-10.71;5.18;10.87;16.115005429722945;23.861329333990987;0.9664948336737581
113460;-8.98;3.96;12.12;15.595396756735624;15.059626310523148;0.12919198623979591
113480;-4.47;1.8;8.2;9.511093522829013;10.520169534073299;-0.30264490652863485
113500;-2.98;3.18;4.28;6.108289449592251;8.370156798484853;-0.5071748458741925
113520;-3.61;3.84;0.08;5.2710625114866545;6.114801940248812;-0.7217259435129115
113540;-4.31;2.12;-2.39;5.364941751780721;4.989412689295578;-0.8287838187652689
113560;-2.94;0.63;-3.1;4.318622465555423;4.763907398128945;-0.8502360561222678
113580;-1.84;-0.27;-3.41;3.8841472680628373;4.6351980022553585;-0.8624801347249105
113600;-2.04;-2.0;-4.08;4.980762993759089;4.258637681203032;-0.898302182822545
113620;-1.77;-2.47;-3.49;4.6275155321187205;4.147700010505837;-0.9088556435919878
113640;-0.31;-1.84;-2.94;3.4821401465190913;4.2661336467165905;-0.8975890943154646
113660;0.86;-2.24;-2.9;3.763934112069445;4.268592083353427;-0.8973552241211659
113680;0.9;-3.65;-2.43;4.476315449116606;4.470251786820073;-0.8781714089577698
113700;0.31;-4.51;-2.12;4.993055176943271;5.012295396271055;-0.8266069950691639
113720;0.82;-5.22;-1.96;5.635814049451951;5.496946249055396;-0.780502333509276
113740;0.82;-5.73;-2.2;6.192358193774001;6.020333221791549;-0.7307127187707001
113760;0.78;-5.73;-2.2;6.18718837599115;6.374352217120828;-0.6970350188932363
113780;0.82;-6.83;-1.73;7.0932503127973705;6.675589911290837;-0.6683783852383083
113800;-0.12;-6.63;-1.33;6.763150153589672;6.92542738021495;-0.6446114365502993
113820;-1.8;-6.79;-1.29;7.1420025203019915;7.152286123096064;-0.6230304458178028
113840;-2.31;-6.94;-1.37;7.4415455383945615;7.238882884150579;-0.6147925270404733
113860;-1.29;-7.14;-0.98;7.321482090396725;7.461229678658971;-0.5936407563361784
113880;-0.71;-7.49;0.2;7.52623411806994;7.807624937496376;-0.5606882997730722
113900;-1.96;-7.61;0.51;7.874884126131635;8.177047780342082;-0.5255452374137621
113920;-2.35;-8.55;0.35;8.873978814489023;8.634106092654811;-0.48206544431889947
113940;-1.84;-9.06;0.9;9.288659752623088;9.293227075121852;-0.41936350198437117
