Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
38822;-2.04;-5.26;-3.73;6.7632906192178375;6.7984223865977444;-0.9891994816774788
38842;-1.1;-5.53;-2.98;6.377405428542238;6.533355862903932;-1.0170833297900423
38862;-0.24;-5.53;-2.55;6.094341637945809;6.479797517635274;-1.0227174353112534
38882;0.71;-6.16;-1.26;6.327503457130624;6.566063992233195;-1.013642576512134
38902;1.84;-6.55;-0.67;6.83644644533986;6.775204070323781;-0.9916419478002869
38922;2.24;-6.83;0.31;7.194622992207444;7.180976010609328;-0.9489565004130033
38942;2.43;-6.9;1.26;7.4231058189951735;7.718980794639267;-0.8923607316502443
38962;3.06;-7.22;2.12;8.123201339373535;8.275664478354436;-0.8338000236923178
38982;3.73;-7.65;2.98;9.017527377280317;8.930576549760909;-0.7649061155831334
39002;3.33;-8.2;3.77;9.619864863915708;9.58466340717468;-0.696099016405202
39022;2.31;-9.06;4.71;10.469183349239806;10.051823320961692;-0.6469558205810385
39042;1.77;-9.1;5.33;10.693540106064034;10.261813313590917;-0.6248657845476865
39062;1.37;-8.87;5.37;10.459000908308594;10.557142032782078;-0.5937984847829048
39082;0.94;-8.36;5.53;10.067477340426448;10.96880331743338;-0.5504935039234615
39102;0.0;-9.1;6.35;11.09650845987151;11.371813612635673;-0.5080985696155708
39122;0.16;-10.32;7.1;12.527489772496324;11.720088839644761;-0.4714615269745022
39142;0.67;-10.87;6.55;12.708591582075488;12.11435914089834;-0.42998600210532345
39162;1.02;-10.98;5.22;12.20037704335403;12.316525598621654;-0.40871896799609136
39182;0.35;-11.22;4.35;12.038828846694349;12.709345777109174;-0.3673959897495109
39202;-0.86;-11.45;3.84;12.107340748488083;13.12620887752208;-0.32354380044373193
39222;-0.86;-13.65;4.79;14.491590664933922;13.95681780091391;-0.23616734589169902
39242;-2.2;-13.65;5.26;14.79290708414002;14.594792663999277;-0.16905515860374554
39262;-3.92;-14.98;5.26;16.353421660313174;14.729173492625694;-0.1549188785392444
39282;-5.77;-12.98;5.49;15.228703162121192;14.374872655177601;-0.19218978925209096
39302;-7.77;-7.61;6.71;12.779244891620161;15.01601289425579;-0.1247446181449323
39322;-9.18;1.29;8.71;12.72008647769346;17.090746787177984;0.09350838467882897
39342;-11.77;8.51;10.63;17.99860827953095;21.086222810985824;0.5138151251631156
39362;-9.81;19.22;15.77;26.727091124924165;25.98543466407021;1.0291909533853085
39382;-1.69;32.71;12.91;35.206083281160375;31.08487156149951;1.565629587453532
39402;4.71;36.21;7.49;37.2753041570421;36.385684046868214;2.123252059561472
39422;-0.59;38.09;3.06;38.21727096483997;39.43195981058435;2.4437070514659336
39442;-10.75;35.74;-24.24;44.50267070637447;39.330799638272275;2.4330654402942073
39462;-6.98;37.62;-17.22;41.958469943504845;38.7221875213435;2.369042086490726
39482;-6.24;13.34;-31.42;34.70028241959999;37.59507678157071;2.250474927439863
39502;-7.57;25.54;-21.5;34.23224357239823;35.09831996309523;1.9878269440951335
39522;-10.75;22.63;-20.83;32.58171726597602;32.559557547546305;1.7207601542094981
39542;-10.75;21.85;-20.79;32.01888661399706;30.81022201547875;1.5367376469749456
39562;-7.61;18.16;-21.65;29.264657865760192;28.493487199249195;1.2930271971127294
39582;-5.22;16.36;-19.46;25.953604759262248;25.614669278610428;0.9901880436648084
39602;-8.2;13.49;-16.24;22.648569491250434;22.569694718701385;0.6698699327546532
39622;-7.88;11.45;-11.73;18.18762766278219;19.748526988595174;0.37309532919431815
39642;-7.85;10.9;-10.08;16.794013814451862;17.495065303474213;0.1360409381691522
39662;-5.65;9.77;-10.12;15.158819215229132;15.491454332659979;-0.07473024186633838
39682;-3.41;10.24;-9.96;14.686296333657442;14.077375673766145;-0.2234851807938967
39702;-3.45;8.75;-8.43;12.630514637179278;13.046740430621721;-0.3319035362271558
39722;-4.71;7.22;-7.02;11.11723436831301;12.304957373521487;-0.4099358950796397
39742;-5.33;7.81;-6.79;11.64083759872974;11.576993016936674;-0.48651458660018204
39762;-5.37;7.53;-6.75;11.44990392972797;11.210125139234867;-0.5251074954166587
39782;-5.37;6.71;-6.94;11.04647455073337;11.147950113350792;-0.5316480383490015
39802;-4.47;6.71;-7.18;10.796175248670243;11.122606946437683;-0.5343140295388689
39822;-4.31;6.83;-7.18;10.806359238892625;11.119661796419086;-0.534623846541193
39842;-4.75;7.57;-7.26;11.514121764164212;11.145015851993874;-0.5319567099113652
39862;-5.57;7.22;-6.9;11.435178179634981;11.233622433692075;-0.5226356819995189
39882;-5.77;6.86;-6.67;11.17324482860731;11.300139624399915;-0.5156383621692927
39902;-5.45;7.22;-6.67;11.23920815716125;11.203670637323006;-0.5257864810103298
39922;-5.14;7.18;-6.79;11.138945192431821;11.142167746605569;-0.5322563182396798
39942;-5.18;7.06;-6.71;11.031776828779668;11.04874179589212;-0.5420843228596629
39962;-5.22;7.18;-6.71;11.1276637260478;10.860999191205915;-0.5618340302175575
39982;-4.24;7.53;-6.32;10.70611507504006;10.701393896974398;-0.5786238146093936
40002;-5.41;6.39;-6.0;10.300495133730223;10.561387969237115;-0.5933518306918563
