Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
186829;-0.39;-12.4;0.35;12.411067641423925;12.257612273466794;-0.45003100595398765
186849;-0.94;-12.28;0.71;12.336373048834085;12.750805138487248;-0.3349189750669636
186869;-1.53;-12.79;1.1;12.92807023495773;13.184734049449327;-0.23363924913384826
186889;-1.57;-13.85;1.26;13.995535002278405;13.458248374200831;-0.16980055309445413
186909;-1.65;-14.12;1.02;14.252624319752485;13.726042319333507;-0.10729700312482489
186929;-2.16;-13.57;1.02;13.77863926518145;13.859481048585923;-0.07615218288783224
186949;-2.79;-13.3;1.53;13.675342774497464;13.733057343996029;-0.10565968475933726
186969;-3.18;-13.02;2.28;13.595263881219813;13.386986911653342;-0.18643309638455416
186989;-4.28;-12.4;2.55;13.36341647932893;13.194099670126088;-0.23145329776860557
187009;-4.9;-11.02;3.37;12.522272158039051;13.005602928468857;-0.2754487492170985
187029;-5.18;-10.75;4.67;12.814203057545171;12.702093983332086;-0.3462882392928991
187049;-4.94;-10.55;5.14;12.73285906621133;12.627268266318536;-0.36375268547390827
187069;-4.98;-8.9;6.47;12.077719155535949;12.507255069046352;-0.39176396432862826
187089;-5.96;-8.04;8.28;12.989287894261178;12.238821570497002;-0.45441678712411443
187109;-5.65;-7.06;7.77;11.922206171678125;12.126455171758614;-0.4806432905462605
187129;-7.22;-5.06;7.34;11.472035564798428;11.745629994421524;-0.569528517169248
187149;-9.57;-0.67;7.49;12.171027072519394;11.108161152529382;-0.718314799822304
187169;-6.94;5.3;5.22;10.17359326885049;11.235078116460185;-0.6886921704043296
187189;-3.22;8.04;4.59;9.801943684800479;12.296864680867765;-0.44086942910728444
187209;-4.51;10.2;5.77;12.556790991332141;15.377923176640527;0.27825472268962587
187229;-4.63;15.38;4.86;16.78096838683632;17.236118084715848;0.7119604893851885
187249;-1.45;15.22;-22.95;27.57631955138321;18.1357363407542;0.9219328791344252
187269;2.9;18.95;-3.37;19.464567809227102;18.849413956242405;1.088506415663687
187289;2.9;12.83;-5.61;14.30003496499222;18.602019403939348;1.0307641177397098
187309;0.86;12.83;-9.73;16.12517906877316;16.751795739007907;0.5989188523856421
187329;-2.9;11.77;-9.73;15.54399562532105;16.797550987814127;0.6095982031779668
187349;-5.61;12.47;-12.2;18.325201226725998;18.369160404208532;0.9764144418411677
187369;-7.53;12.63;-13.1;19.693344053258198;20.419871362238915;1.4550537731935422
187389;-10.63;12.94;-14.51;22.158082046964264;22.99313981861018;2.0556588894458407
187409;-10.24;19.02;-15.14;26.378733858925074;24.402690000087624;2.3846502344854987
187429;-10.0;20.87;-16.48;28.410337907177382;25.083244067799832;2.5434926801472555
187449;-9.45;16.51;-16.79;25.37295213411321;24.879728887091083;2.4959919001699293
187469;-8.9;14.67;-15.46;23.096114391819246;23.478329028012777;2.1689028538663035
187489;-8.16;13.85;-13.73;21.140506143420502;21.381585978610627;1.679519556208655
187509;-8.16;11.96;-12.87;19.37173456353354;19.73416289523651;1.2950082822073712
187529;-7.73;11.22;-11.65;17.92662266016664;18.137683803567125;0.9223874201778434
187549;-6.79;12.08;-10.08;17.13583671724261;16.644575079443136;0.5738933730023685
187569;-6.04;10.55;-8.98;15.113718933472331;15.427259592971353;0.28976992390871403
187589;-5.37;9.26;-8.51;13.674962522800564;14.331138146264735;0.033933364261832535
187609;-4.71;9.57;-7.92;13.285157131174627;13.166413730273167;-0.23791524194809718
187629;-4.2;8.67;-7.88;12.446015426633538;12.3524605628996;-0.42789325823471014
187649;-4.31;7.3;-7.49;11.312214637284779;11.908003366951865;-0.5316303033068724
187669;-4.47;7.26;-7.02;11.043953096604493;11.490079798771124;-0.6291743557473749
187689;-4.71;7.69;-7.06;11.452676543061887;11.124999120463372;-0.7143847902411399
187709;-4.71;7.34;-7.02;11.195539290270924;10.879374479317804;-0.7717139879719104
187729;-4.43;6.9;-6.75;10.620612035094776;10.62193108691476;-0.83180170180518
187749;-4.28;6.32;-6.59;10.084091431556935;10.24724650317632;-0.9192537037200946
187769;-4.47;5.73;-6.51;9.756736134589271;9.996454515400298;-0.9777889687059219
187789;-4.86;5.45;-6.2;9.579253624369699;9.830560899917204;-1.0165088130991657
187809;-4.9;5.65;-6.55;9.941579351390805;9.79229258770301;-1.0254407005006834
187829;-4.9;5.18;-6.71;9.791143957679306;9.782566333065791;-1.0277108244291149
187849;-5.1;5.18;-6.71;9.89274987048596;9.826896212115887;-1.0173641572967322
187869;-5.06;4.86;-6.71;9.708104861403177;9.902779944589359;-0.9996527685564539
187889;-5.1;5.26;-6.51;9.800903019620181;9.966239556344172;-0.9848411901527482
187909;-5.26;5.77;-6.75;10.320998013758166;10.029285036787375;-0.9701262706825239
187929;-5.26;5.33;-6.79;10.108442016453376;10.153803459610565;-0.9410634647284433
187949;-5.3;5.18;-7.02;10.207977272701973;10.306448451896495;-0.9054358709147354
187969;-5.49;5.06;-7.14;10.330696975519125;10.372931368902321;-0.8899186480621365
187989;-5.84;4.86;-7.34;10.564127981049833;10.538154029189679;-0.8513554057219501
188009;-6.0;4.86;-7.34;10.653412598787302;10.67877487923506;-0.8185342666060949
