Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
125129;-5.65;-8.28;3.53;10.627407962433736;10.831539782204782;-0.28979372061679537
125149;-5.26;-7.65;3.69;9.990305300640216;10.454471239292184;-0.38546596531249433
125169;-5.61;-7.22;4.55;10.212884019707657;10.050622648518138;-0.4879330151971186
125189;-5.45;-6.75;4.79;9.910050453958345;9.920379387659969;-0.5209791691577177
125209;-4.59;-6.9;4.67;9.51246550585073;10.01328652432498;-0.49740617565278855
125229;-5.02;-6.98;5.06;9.9761916581429;10.34971623571711;-0.4120450754597344
125249;-5.02;-6.83;6.12;10.454840983965275;10.710464348411238;-0.3205137548022482
125269;-6.75;-6.83;7.02;11.895032576668296;11.004030444985997;-0.2460282853729627
125289;-6.9;-6.35;7.02;11.713791017428985;11.260427963134196;-0.18097346561482025
125309;-5.61;-6.08;7.22;10.98029598872453;11.75483478749378;-0.055529400952238364
125329;-5.61;-5.96;7.73;11.258179248883897;12.001091687514855;0.006952476254584548
125349;-7.26;-5.81;8.98;12.926875105763187;12.377617213248941;0.10248694315536264
125369;-7.96;-5.69;8.75;13.126317076773669;13.079073502951857;0.2804649236928431
125389;-8.16;-6.67;8.59;13.59641864609942;13.848794964053749;0.4757635805504123
125409;-8.51;-6.83;9.53;14.487577437239118;14.41120964362764;0.6184630336233742
125429;-9.34;-6.63;9.85;15.10678655439336;15.065158938665451;0.7843872353352616
125449;-10.0;-6.67;10.16;15.738948503632637;15.67585358775375;0.9393365913611568
125469;-10.4;-6.47;10.9;16.396063551962712;16.09249802402717;1.0450502850847185
125489;-10.16;-6.67;11.38;16.649891891540918;16.432971761848002;1.131437461553068
125509;-9.41;-6.63;11.92;16.57079961860622;16.736440961870592;1.2084356097886768
125529;-9.38;-5.92;12.63;16.809155243497514;17.0506182943206;1.2881506939370948
125549;-10.16;-4.79;13.1;17.256294503745583;17.177844567172077;1.320431358385918
125569;-11.22;-2.9;13.73;17.966950214212762;17.372327685995916;1.3697768603723035
125589;-10.28;-2.39;13.69;17.28602325579831;17.803702141879576;1.4792279489727698
125609;-11.18;-3.18;13.14;17.543215212725404;17.937699159471574;1.5132265301233778
125629;-13.53;-2.67;13.02;18.96602752291581;17.491811618613728;1.4000930886906793
125649;-11.73;-1.69;13.45;17.92627959170558;17.373844604999498;1.3701617427731878
125669;-8.94;-2.04;12.79;15.737512509923542;17.462411592463788;1.392633525837331
125689;-10.87;-2.47;12.43;16.696188187727163;16.481787820026376;1.1438233843538557
125709;-13.14;0.2;12.28;17.98605015004684;14.640442449849932;0.6766254487635425
125729;-8.9;1.73;10.75;14.06290866072876;21.227873537777377;2.348030637040765
125749;-4.39;0.24;7.53;8.719552740823351;19.152677038803;1.821498495939951
125769;-33.62;10.55;-33.58;48.674667949560785;16.812978837763843;1.2278552896548
125789;5.45;-1.88;2.59;6.320205692855257;15.09561215299463;0.7921140198359432
125809;5.45;0.47;3.1;6.287559144851045;14.579729291814257;0.6612209176218817
125829;-3.53;0.47;4.16;5.476075236882708;6.047128434551428;-1.503725197482715
125849;-4.39;-1.06;4.16;6.1401384349214805;6.157519542400694;-1.4757160588767606
125869;0.43;-4.24;4.24;6.011663663246639;6.480192512749855;-1.393845407091606
125889;-1.53;-5.49;3.84;6.872161232101587;7.161866882303923;-1.2208866219778869
125909;-2.63;-6.94;2.71;7.900923996596854;7.65513405675389;-1.095731716586397
125929;-0.78;-8.51;2.43;8.884447084653045;8.037803532304917;-0.9986383674045777
125949;-0.27;-8.24;2.47;8.606474307171316;8.236958271087513;-0.9481075520946063
125969;0.55;-7.57;2.28;7.925011041001773;8.136044914066684;-0.9737119350839321
125989;2.12;-7.34;1.88;7.867934926014576;7.839108199082998;-1.0490526193945857
126009;1.69;-6.94;1.92;7.396357211492695;7.734486464783592;-1.0755979156080153
126029;0.43;-7.1;2.04;7.399763509734618;7.916202117476708;-1.0294918568654694
126049;0.08;-7.88;1.8;8.083365635674289;8.068006682038657;-0.9909750308939608
126069;-0.75;-8.63;1.73;8.833589304467353;8.334983790204799;-0.9232358898260682
126089;-2.04;-8.32;1.02;8.626957748824323;8.69661736101297;-0.8314799050671953
126109;-2.24;-8.43;0.39;8.731242752323405;8.882729856185989;-0.7842582513021199
126129;-1.84;-9.02;-0.2;9.20793136377547;8.912329339193645;-0.7767480809779116
126149;-2.28;-8.67;-0.94;9.013928111539386;9.037452312473656;-0.7450010791616575
126169;-2.79;-8.28;-2.08;8.981586719505636;9.169298541299945;-0.7115482099060068
126189;-2.71;-8.24;-3.22;9.252572615224373;9.186659282313666;-0.7071433315527669
126209;-2.51;-8.28;-3.65;9.390473896454854;9.299571966107248;-0.6784944025551242
126229;-2.71;-7.92;-4.04;9.294735068844082;9.422994187876423;-0.6471789263003882
126249;-2.75;-7.85;-4.75;9.578491530507296;9.47977722945014;-0.6327715694680103
126269;-2.55;-7.85;-4.9;9.598697828351511;9.520549824419309;-0.6224264856468091
126289;-3.14;-7.65;-4.75;9.536487823092944;9.593199041750562;-0.6039934611261776
126309;-3.73;-7.22;-5.1;9.594336871300694;9.682954300307232;-0.5812201823131797
