Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
65202;15.3;-8.47;1.02;17.517742434457702;17.050930452306527;-0.006403276685102099
65222;14.44;-7.69;0.16;16.36078543346865;16.090305718602245;-0.1040373554293239
65242;13.22;-7.37;-0.98;15.167257497649336;14.849647872992978;-0.2301328863300933
65262;11.26;-6.94;-1.61;13.324537515426192;13.39882537853199;-0.3775887165811783
65282;9.92;-6.08;-2.39;11.877916483963002;12.038676660020784;-0.5158288247396422
65302;8.16;-5.26;-3.33;10.263629962152766;10.790592349614766;-0.6426791519966966
65322;7.1;-4.12;-4.9;9.560041840912623;9.81685367311072;-0.7416460797495236
65342;5.96;-3.02;-5.92;8.926835945619255;9.00682331378143;-0.8239743450056126
65362;4.98;-2.2;-6.47;8.455844132905952;8.470403359062264;-0.8784939365396209
65382;3.45;-1.65;-6.83;7.827764687316552;8.084279652313885;-0.9177380149679484
65402;3.02;-1.14;-6.86;7.5815301885569255;7.7445265195688435;-0.9522691726116957
65422;2.86;-0.43;-7.06;7.6294233071707325;7.529306201574589;-0.9741433100736572
65442;2.47;0.2;-6.79;7.228070281894055;7.590161576928205;-0.967958211667568
65462;2.55;0.59;-6.9;7.37974254293468;7.860146668904251;-0.940518000308332
65482;2.24;0.86;-7.77;8.13204156408463;8.37821895417911;-0.8878631929511697
65502;2.98;1.73;-8.24;8.931455648437158;9.32779173811151;-0.7913523904421372
65522;3.8;2.94;-9.02;10.219784733545026;10.527644417953939;-0.669404134359379
65542;5.14;4.47;-9.85;11.975934201556052;12.082545269616315;-0.5113701936703238
65562;5.65;6.12;-10.47;13.379005942146824;13.894781060767462;-0.32718175282718387
65582;7.1;8.51;-11.41;15.906545822396513;15.994910020503932;-0.11373299491601017
65602;8.04;11.77;-10.98;17.992634604192904;18.286611273586885;0.11918640925020738
65622;10.47;14.63;-10.28;20.720429532227367;21.113466171085484;0.4064967022056977
65642;13.65;16.28;-9.89;23.43444046697083;24.127501064848627;0.7128312258034332
65662;16.91;19.42;-9.69;27.513280429639796;26.588768199916565;0.962984632065574
65682;20.36;22.24;-7.1;30.976720291212235;29.134677510210786;1.2217407325028464
65702;20.36;22.24;-2.98;30.2989702795326;31.910209667646775;1.503834786203993
65722;23.97;23.14;-2.98;33.44997608369847;34.59963488014353;1.77717727235992
65742;26.48;26.24;1.57;37.312101254150775;37.49539482526613;2.0714908004076964
65762;27.18;30.05;6.0;40.96040649212358;37.903048488514365;2.1129230980172653
65782;30.01;32.99;8.79;45.45552001682524;37.12171403374096;2.0335113704129206
65802;20.87;4.75;24.24;32.33723859577376;37.9539754525109;2.1180991121657544
65822;22.28;14.2;13.22;29.543303809831425;36.49544893592319;1.9698602757348607
65842;36.4;17.06;10.2;41.473408348000525;33.58356494806172;1.6739079640880279
65862;28.05;11.26;14.83;33.66777390918503;32.83912273301056;1.59824581705528
65882;20.52;11.81;19.85;30.896100077517875;32.11709903179954;1.5248621986391708
65902;18.75;9.18;19.57;28.615027520517955;28.570044137757936;1.1643536413594622
65922;18.04;6.71;17.38;25.933185303776316;26.192510935298152;0.9227106191036782
65942;15.02;4.55;17.81;23.7381338777925;23.758839744733315;0.6753619549266671
65962;13.85;1.41;16.75;21.780107896886093;21.181188274756884;0.41337970757771353
65982;12.08;-0.94;14.28;18.727744124693714;18.90793618684678;0.18233540321067054
66002;9.34;-1.26;12.59;15.726770170635799;16.82774563358114;-0.029086894336630472
66022;8.04;-1.61;12.04;14.566924864225804;14.898965286549814;-0.2251204604891492
66042;8.16;-2.98;10.12;13.337181111464295;13.32117290549493;-0.3854810052150017
66062;7.53;-3.65;8.79;12.136206161729454;12.186412813465477;-0.5008135094633358
66082;7.18;-4.08;7.02;10.8387822194193;11.16936325399001;-0.6041823831687799
66102;5.81;-4.94;6.55;10.052969710488538;10.190593961556322;-0.7036606027242993
66122;5.65;-5.69;5.06;9.48167706684846;9.452843776833946;-0.7786425984001697
66142;4.63;-5.53;4.39;8.443334649295858;9.104437766483988;-0.8140532001221314
66162;4.31;-6.35;3.53;8.447455238117572;9.047541856324688;-0.819835874227655
66182;3.96;-7.53;3.22;9.096752167669514;9.076982130827286;-0.8168436817739441
66202;4.12;-8.47;2.59;9.76849015969203;9.244919628410859;-0.7997751821945551
66222;4.12;-8.47;2.0;9.628878439361461;9.485540494641047;-0.775319433995745
66242;3.69;-8.28;2.0;9.28302213721372;9.67186002398738;-0.7563826577900782
66262;3.96;-8.71;1.26;9.65055956926851;9.720900117715932;-0.7513984176339307
66282;4.43;-8.98;0.55;10.028349814401171;9.822967619047379;-0.741024682591951
66302;4.0;-9.18;0.04;10.013690628334789;10.10807652442955;-0.7120473469663925
66322;4.63;-9.02;-0.08;10.139215946018705;10.429627107487851;-0.6793662241042895
66342;5.41;-9.22;-0.63;10.70856666412457;10.669733625025916;-0.6549627522616325
66362;5.1;-10.0;-0.86;11.258312484560019;10.87782430322415;-0.6338132430429794
66382;5.77;-9.57;-1.1;11.228882402091493;11.120313248312659;-0.6091676307359962
