Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
1327444;-7.1;-6.75;-9.65;13.751181767397302;13.814322666805316;-0.22321101989789513
1327464;-7.45;-7.37;-9.22;13.958072932894426;14.134103378196759;-0.1815462862198165
1327484;-8.28;-7.96;-9.14;14.678542161945103;14.273297888392566;-0.16341041376045562
1327504;-8.43;-8.12;-9.02;14.776999018745315;14.214084388773696;-0.17112543409746167
1327524;-7.96;-8.16;-8.47;14.201693560980678;13.968690531039817;-0.20309818718888514
1327544;-7.37;-7.96;-7.96;13.455114269302957;13.427700453698003;-0.2735846383474054
1327564;-6.39;-7.92;-7.65;12.731103644225037;12.619467154903784;-0.3788906306866205
1327584;-5.88;-7.3;-7.45;11.973591775236033;11.625075354186958;-0.5084515081024439
1327604;-5.45;-6.16;-6.9;10.73583252477422;10.477635345527752;-0.657953278125829
1327624;-4.9;-4.82;-6.16;9.229734557396545;9.291092519717136;-0.8125498159217512
1327644;-4.31;-3.65;-5.26;7.71791422600692;8.152683043887139;-0.9608749835676416
1327664;-3.96;-2.63;-4.86;6.798389515171957;7.1847451003231715;-1.0869891461761962
1327684;-3.65;-2.08;-4.67;6.281544396086045;6.560177736732233;-1.1683650138913135
1327704;-3.3;-1.88;-4.51;5.896142806954391;6.320995136854346;-1.1995284923918783
1327724;-3.3;-2.31;-4.59;6.106897739441852;6.322500542562755;-1.1993323507057667
1327744;-3.45;-1.84;-5.22;6.522001226617486;6.332536008300741;-1.1980248140332472
1327764;-3.18;-1.45;-5.84;6.805916543714005;6.576748348387687;-1.1662060027411312
1327784;-2.75;-0.39;-5.69;6.331721724775971;7.287786974704889;-1.0735636577059144
1327804;-2.39;2.55;-6.2;7.11720450738912;8.411311769410428;-0.9271778386599919
1327824;-1.1;6.28;-7.26;9.662090871027864;9.839810162941204;-0.7410565280060577
1327844;-0.86;7.85;-9.22;12.139625200145185;11.868634402444172;-0.4767178152340795
1327864;-1.57;9.34;-10.24;13.948408511367882;14.765240259972552;-0.09931446561006019
1327884;-3.18;12.91;-9.73;16.475842922290806;17.46790266759077;0.2528196857750972
1327904;-3.18;18.44;-10.79;21.600233795031016;20.315700895512776;0.6238638122922587
1327924;-5.96;18.44;-12.71;23.175402909118972;23.022770233626602;0.9765721496082634
1327944;-7.88;21.73;-12.71;26.3786163397552;25.2471262663796;1.2663870083801394
1327964;-10.4;22.28;-12.28;27.483755201937015;26.323606909323654;1.4066433706313588
1327984;-14.04;22.24;-8.36;27.597623086055798;26.864105908570952;1.4770658384497515
1328004;-17.77;19.77;-4.63;26.98263700975129;27.064236181393255;1.5031411276120659
1328024;-20.16;16.12;-1.84;25.87789790535545;27.437161111619567;1.5517301054531198
1328044;-22.95;14.83;-1.73;27.379267703866734;32.08957908174146;2.1579009868698993
1328064;-26.67;12.24;-0.47;29.348379853068554;27.679927558511526;1.5833605290384416
1328084;-34.48;-14.36;34.52;50.859712936665304;29.40709902321921;1.8083964256073684
1328104;0.0;4.2;2.59;4.93437939360159;31.182585772350897;2.0397273968521485
1328124;-30.24;16.51;2.04;34.513755228893885;30.572723106408752;1.9602674274058411
1328144;-35.74;3.22;5.18;36.25670144952517;24.343669815010845;1.148674241177169
1328164;-24.91;-8.12;2.28;26.29906652335782;26.432769228779073;1.4208663015517413
1328184;-19.57;-1.92;1.41;19.71444647967576;26.299736936390275;1.4035333141778448
1328204;-15.3;-1.45;0.59;15.379876462442734;23.168435966685962;0.9955511679096866
1328224;-31.66;-11.14;4.39;33.848593766949904;21.40014210202902;0.7651573689374721
1328244;-19.34;-6.9;-1.65;20.600196601003596;20.599882278367044;0.6608902532597923
1328264;-15.89;-6.9;-2.16;17.457597200073096;20.49803946443422;0.6476209922681779
1328284;-13.85;-6.94;-2.63;15.713147361365895;16.108790412594754;0.07573880464057253
1328304;-12.47;-6.86;-4.31;14.870662392778609;13.819585874672327;-0.22252526823664817
1328324;-9.53;-5.65;-4.35;11.902348507752578;12.1204090358364;-0.4439137008097356
1328344;-6.47;-4.86;-4.28;9.154173911391458;10.835199279190252;-0.6113657087752253
1328364;-5.33;-5.65;-4.47;8.96171300589346;9.788940240464022;-0.7476844505064921
1328384;-5.18;-5.53;-5.37;9.287098578135154;9.338207308527435;-0.8064111557144534
1328404;-5.69;-5.22;-5.77;9.639367199147461;9.493236569933908;-0.7862121485238567
1328424;-5.45;-5.65;-5.61;9.648683848069643;9.67282905896483;-0.7628127596317071
1328444;-5.45;-6.08;-5.65;9.929320218423818;9.807349101463029;-0.7452859309475639
1328464;-5.02;-6.08;-5.92;9.859675451048071;9.856655471362535;-0.7388617261806258
1328484;-5.26;-6.04;-5.92;9.959698790626149;9.99627705640833;-0.7206702094648996
1328504;-5.14;-5.33;-6.55;9.885899048644994;10.04797037387932;-0.713935005530949
1328524;-5.26;-5.33;-7.14;10.34679177329862;10.318624858246384;-0.6786710055202431
1328544;-4.43;-5.81;-7.1;10.18778680577877;10.581139357807478;-0.6444675769793065
1328564;-5.73;-6.43;-7.18;11.212947872883383;10.863655987868569;-0.607658039281097
1328584;-5.92;-5.84;-7.61;11.272271288431627;11.10086304524467;-0.5767519573315887
1328604;-4.9;-5.81;-8.36;11.298482198950442;11.429035169892398;-0.533993893174056
1328624;-5.14;-5.96;-8.43;11.53282706017913;11.584674108197676;-0.5137154502179063
