Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
1305524;-4.2;-5.14;-11.53;13.3041534867875;13.371015552857727;-0.31135683981436496
1305544;-3.96;-5.57;-11.41;13.300172931206571;13.31472848747345;-0.31617646603191246
1305564;-3.96;-5.53;-11.49;13.352250746596996;13.178536561951628;-0.3278380115465346
1305584;-3.96;-5.41;-11.3;13.13924274834741;13.070061639167886;-0.3371262659301253
1305604;-3.96;-5.41;-10.9;12.796862896819674;12.873828181264653;-0.3539289169834989
1305624;-3.73;-5.49;-10.9;12.761778872868781;12.580042922080168;-0.3790845211676541
1305644;-3.61;-4.63;-10.83;12.319005641690405;12.283931921964665;-0.40443926882979725
1305664;-3.3;-4.55;-10.47;11.883324450674568;11.979063279168596;-0.43054389684152
1305684;-2.79;-4.47;-10.4;11.658687747769902;11.572680477397618;-0.46534075811691583
1305704;-2.59;-4.04;-10.2;11.272519682839324;11.179405852149996;-0.49901522100815554
1305724;-2.24;-3.18;-10.0;10.729864864013898;10.720353018714768;-0.5383219970171589
1305744;-2.04;-2.75;-9.77;10.352632515452289;10.15264721490688;-0.5869322728808334
1305764;-2.16;-2.43;-9.02;9.58806028349843;9.564328142032116;-0.6373075768436959
1305784;-1.8;-2.16;-8.36;8.820158728730453;8.972232899296923;-0.6880062184532624
1305804;-1.37;-2.43;-7.85;8.330924318465508;8.327695175965971;-0.7431952905492467
1305824;-1.33;-1.92;-7.41;7.76938865033794;7.715494931684113;-0.7956154394340036
1305844;-1.06;-1.45;-6.9;7.129943898797522;7.152615965562663;-0.8438124133551699
1305864;-0.98;-0.9;-6.39;6.527059062089143;6.514736503975375;-0.8984313663190949
1305884;-1.22;0.08;-5.88;6.0057638981232015;5.827082763416274;-0.9573122828132606
1305904;-0.75;0.82;-5.02;5.14152701052907;5.917967083161142;-0.949530238266865
1305924;-0.04;2.67;-3.41;4.331119947542437;7.056916946109706;-0.8520067205197056
1305944;0.24;6.75;-3.45;7.584365497521859;9.26151283601428;-0.6632363862068131
1305964;0.78;11.41;-4.31;12.221808376831964;12.417143379880867;-0.39303292830258263
1305984;0.9;15.85;-6.16;17.02874334764606;16.47993998274162;-0.045152631292456
1306004;-1.41;19.93;-6.2;20.919679729862022;20.55328584138191;0.3036309544107934
1306024;-5.37;23.81;-3.41;24.64510296184619;24.446495940757007;0.6369902677320104
1306044;-9.06;26.4;1.49;27.951094790723314;28.377854330553014;0.9736160597621811
1306064;-17.18;26.56;1.88;31.68785887370745;32.37361691203258;1.3157565136180998
1306084;-27.42;24.36;0.75;36.68553529662611;35.229868055447525;1.5603253643961708
1306104;-35.77;19.77;1.53;40.89849263725987;41.416427264526696;2.0900545793929965
1306124;-35.77;15.18;2.31;38.9263586789209;49.77264751226872;2.805562803363558
1306144;-44.21;15.18;35.81;58.88389083611918;47.34226278052634;2.597459113965944
1306164;-59.66;-23.58;35.81;73.46896011241753;46.458252294650705;2.521764989832351
1306184;-7.96;-22.63;-5.14;24.533611637914216;46.105821469312545;2.4915878108645844
1306204;-36.01;5.73;1.06;36.47844020788169;39.13472785270166;1.894682192669375
1306224;-36.79;-0.08;5.26;37.16420455223009;28.191091027006678;0.9576242984560545
1306244;-18.63;-12.51;8.59;24.028422753064753;27.80553182410757;0.9246104749422008
1306264;-13.42;-9.26;9.26;18.75077598394264;25.906381190907087;0.7619941416806367
1306284;-19.02;-4.04;11.53;22.60581562341868;23.771194478311283;0.5791670251996194
1306304;-22.63;-9.06;11.57;26.98268704187928;22.770364195604003;0.493470109986148
1306324;-22.2;-12.94;6.43;26.488270989251074;21.89096778352728;0.41817106971239215
1306344;-16.51;-7.88;5.22;19.024271339528358;19.852184968143472;0.24359861613313774
1306364;-11.73;-7.92;2.39;14.353793923559024;16.463017978997712;-0.04660159176571521
1306384;-10.67;-6.08;-1.8;12.411901546499635;12.81723423611665;-0.3587748200329399
1306404;-6.28;-7.1;-3.3;10.036852096150465;10.545200897086886;-0.5533195413320667
1306424;-2.98;-7.18;-2.79;8.25935227484577;9.122544318712743;-0.6751356796737503
1306444;-3.22;-4.55;-5.26;7.664104644379537;8.185432918049756;-0.7553766132623692
1306464;-2.35;-4.04;-5.53;7.240511031688302;7.920751226045496;-0.7780402005959683
1306484;-3.02;-3.88;-5.96;7.7263445431847;8.11726493028135;-0.7612135532201209
1306504;-4.08;-4.51;-6.24;8.713443636129174;8.624026311585641;-0.7178216936037015
1306524;-4.39;-4.71;-6.63;9.241920796025033;9.398298511148122;-0.6515240003938524
1306544;-4.75;-5.57;-7.1;10.197911550900997;9.928679862068412;-0.6061096614734979
1306564;-4.63;-6.32;-7.88;11.1118720295007;10.205358362466121;-0.5824188375649375
1306584;-3.8;-5.41;-8.0;10.378251297786155;10.488167296343017;-0.5582030902531139
1306604;-3.69;-5.06;-7.92;10.096836138117723;10.725608481869438;-0.5378719936667856
1306624;-5.14;-4.94;-7.92;10.655965465409505;10.702091961327056;-0.5398856150588012
1306644;-5.22;-4.94;-8.83;11.385117478533106;10.839862583572472;-0.5280888923402044
1306664;-5.22;-4.94;-8.32;10.9942894267888;11.045481648041534;-0.5104825910136565
1306684;-5.1;-5.22;-8.32;11.067104409013227;11.19941524728984;-0.4973019001100971
1306704;-5.14;-5.06;-8.47;11.124931460463026;11.224521200593419;-0.4951521822320667
